Code,Same_pref_rate,Univ_ent_rate
01,68.3,42.3
02,37.3,44.0
03,26.9,42.6
04,57.3,48.8
05,23.7,44.4
06,19.4,45.1
07,19.2,44.2
08,20.0,49.6
09,23.0,52.0
10,28.7,52.1
11,31.1,57.2
12,32.2,55.4
13,65.4,66.7
14,40.2,61.7
15,36.2,46.3
16,19.2,52.0
17,42.9,54.3
18,28.7,55.3
19,27.4,57.0
20,17.4,48.1
21,18.9,56.0
22,27.7,53.8
23,72.0,58.8
24,21.3,51.5
25,20.9,55.5
26,50.0,66.4
27,55.5,59.4
28,44.8,60.8
29,14.7,60.0
30,10.4,47.6
31,14.9,41.9
32,14.4,46.3
33,43.3,50.7
34,52.7,60.0
35,24.9,43.4
36,36.2,49.4
37,17.7,51.1
38,32.6,52.0
39,20.1,46.9
40,63.7,54.3
41,13.8,43.5
42,33.0,41.2
43,45.9,45.6
44,23.0,47.0
45,28.0,43.5
46,32.8,42.2
47,51.9,39.8
